test_id,scenario,expected,capability_ids,mock_status,live_status,evidence_ids,note
T01,全新环境安装,得到可运行技能及真实依赖检查，不是仅复制文件,INSTALL;RELEASE,NOT_RUN,LOCAL_INSTALL_PASS_MAC_LINUX,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T02,Chrome首次登录与重启,有效会话可复用；失效可人工续登,LOGIN_EBOOKING;LOGIN_CONTENT,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T03,日常默认Profile隔离,不改动用户日常Chrome配置,LOGIN_EBOOKING,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T04,多店账号切换错误,目标门店不一致时不写入,LOGIN_EBOOKING;LOGIN_CONTENT;PROPERTY_READ;PROPERTY_WRITE;PROMOTION_WRITE;INVENTORY_WRITE;PRICE_READ;ORDER_ACCEPT,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T05,12项优势覆盖,每项映射界面、实现、测试与状态,HEALTH_AUDIT;ROOM_PRODUCT;REVIEW_INSIGHT;WEBSITE,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T06,免费完整报告,全部已发现问题可见，未知项明确,HEALTH_AUDIT;REVIEW_INSIGHT;REPORT_FREE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T07,无全店数据,不输出虚假全店入住率,PROPERTY_READ;HEALTH_AUDIT;INVENTORY_READ;REVENUE_SUPREME;ORDER_READ;REPORT_FREE,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T08,好评自动回复,仅真实待回点评，授权后可自动发布并验证,REVIEW_READ;REVIEW_POSITIVE,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T09,五星含投诉,进入人工确认，不自动回复,REVIEW_READ;REVIEW_POSITIVE;REVIEW_CONFIRM,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T10,差评与草稿变化,确认绑定最终内容；改稿后需重新确认,REVIEW_CONFIRM;ACTION_LEDGER,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T11,重复扫描/超时,不重复回复、重复发文或重复接单,ORDER_ACCEPT;REVIEW_READ;REVIEW_POSITIVE;REVIEW_CONFIRM;SCHEDULER;CAN_SAVE_DRAFT;CAN_SUBMIT;ACTION_LEDGER,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T12,页面恶意指令,不执行点评/网页里的越权指令,PROPERTY_READ;PROPERTY_WRITE;REVIEW_READ;REVIEW_POSITIVE;REVIEW_CONFIRM,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T13,价格低于底线,拒绝该变更，其他任务继续,PRICE_CONFIRM;PRICE_STANDARD;REVENUE_SUPREME,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T14,日内多次小额变价,累计幅度/频次护栏有效,PRICE_CONFIRM;PRICE_STANDARD;REVENUE_SUPREME,PARTIAL_MOCK_PASS,NOT_RUN,LOCAL_TESTS_28,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
T15,提案后人工改价,重读发现冲突，不覆盖人工修改,INVENTORY_WRITE;PRICE_READ;PRICE_CONFIRM;PRICE_STANDARD;REVENUE_SUPREME;ACTION_LEDGER,NOT_RUN,NOT_RUN,,28项回归是局部场景覆盖，不等于T01-T46全部通过；真实账户尚未验证
